"Reference ID","Product Name","Sale  Price","POS Category"
"00015000073114","GB CARROTS 2/3½z",1.69,"Groceries"
"00015000073121","GB G BEANS 2/3½z",1.69,"Groceries"
"00015000073169","GB PEAS 2/3½oz",1.69,"Groceries"
"00015000073176","GB SQUASH 2/3½oz",1.69,"Groceries"
"00015000073183","GB S POTAT 2/3½z",1.69,"Groceries"
"00015000073237","GB PT&CORN 2/3½z",1.69,"Groceries"
"00015000073305","GB PEACHES 2/3½z",1.69,"Groceries"
"00015000073343","GB PEARS 2/3½oz",1.69,"Groceries"
"00015000073350","GB BANANA 2/3½z",1.69,"Groceries"
"00016000106109","GM ALL PURPOS 5b",3.79,"Groceries"
"00016000107106","GM ALL PURPOS 2b",1.99,"Groceries"
"00016000108103","GM ALL NATURL 5b",4.89,"Groceries"
"00016000275119","CCOA PUFFS 11.8z",4.39,"Groceries"
"00016000275270","HNEY CHRRIOS 11¼",5.29,"Groceries"
"00016000275287","GM CHEERIOS 18z",6.09,"Groceries"
"00016000275348","LCKY CHARMS 11½z",5.29,"Groceries"
"00016000275645","GM CHEERIOS 14z",5.49,"Groceries"
"00016000275676","GM KIK 12z",5.29,"Groceries"
"00016000275720","GM TRIX 14.8z",4.99,"Groceries"
"00016000275799","LCKY CHARMS C 12",4.99,"Groceries"
"00016000297098","TOM/J SNACK 10z",3.49,"Groceries"
"00016000301405","BC OATMEAL 17.5z",3.09,"Groceries"
"00016000420601","BC BISQUICK 20z",2.89,"Groceries"
"00016000423527","KF PAND SNCK 10z",3.49,"Groceries"
"00016000424142","SPONG BB SNCK 10",3.49,"Groceries"
"00016000424197","SCOOBYd SNCK 10z",3.49,"Groceries"
"00016000458307","BC RICH/CREMY 1b",2.79,"Groceries"
"00016000625709","GM KIK 18oz",5.59,"Groceries"
"00016712019025","VENEZOLANA 24oz",3.49,"Groceries"
"00016712019179","VENEZOLANA 80oz",8.49,"Groceries"
"00016712019193","VENEZOLANA 64oz",7.99,"Groceries"
"00016712019209","VENEZOLANA 24z",3.49,"Groceries"
"00017202201562","COLCAFE INST 6z",6.49,"Groceries"
"00017202268084","COLCAF INS 1.76z",2.49,"Groceries"
"00017202268534","COLCAF INS 3.52z",4.49,"Groceries"
"00017202271480","COLCAFE DC 3.52z",4.99,"Groceries"
"00020662000132","NO NATURAL 10½oz",2.99,"Groceries"
"00021000028221","KRFT MAC&CHSE 2z",1.79,"Groceries"
"00021000038695","KRFT HONEY 17.5z",2.19,"Groceries"
"00021000038749","KRFT ORIGNL 17.5",2.19,"Groceries"
"00021000038756","KRFT P CHEESE 8z",3.79,"Groceries"
"00021000615421","KRFT P CHEESE 3z",2.49,"Groceries"
"00021000658831","KRFT MAC&CHS 7¼z",1.99,"Groceries"
"00021000678488","KRAFT HOT 18oz",2.19,"Groceries"
"00021500003049","LAWRY´S SALT 16Z",1.99,"Groceries"
"00022343160036","EL YUCATECO ",1.79,"Groceries"
"00023545002971","FELA PANELA 16oz",1.5,"Groceries"
"00023545201435","LF BROWN SGAR 2b",2.99,"Groceries"
"00023545203323","LF COCONUT FL 8z",2.49,"Groceries"
"00023545204382","LF GUAVA PST 14z",1.29,"Groceries"
"00023545204801","LaFE SRDINS 5.5z",0.79,"Groceries"
"00023545208137","LF TAMARND 11.8z",1.29,"Groceries"
"00023545208670","LF BROWN SGAR 4b",5.99,"Groceries"
"00023545209240","U GLTNA FRE 5.3z",1.39,"Groceries"
"00023545209257","U GLTNA NRNJ 5.3",1.39,"Groceries"
"00023545209288","U GLTNA LMN 5.3z",1.39,"Groceries"
"00023545209370","U CHCHA MRDA 4.2",0.99,"Groceries"
"00023545305133","TRIGUISAR 2.4oz",1.29,"Groceries"
"00023545401804","LF MRIA COOKS 3½",0.5,"Groceries"
"00023545401828","LF MRIA COOKS 7z",0.99,"Groceries"
"00024000001942","DM TMATO SAUC 8z",0.89,"Groceries"
"00024000002109","DM PEACHES 4/4z",3.39,"Groceries"
"00024000002314","DM MIXD FRT 4/4z",3.39,"Groceries"
"00024000011071","DM PETITE 14½z",1.99,"Groceries"
"00024000011859","DM PNAPLE SL 20z",1.99,"Groceries"
"00024000015055","DM MANDRN T 4/4z",3.39,"Groceries"
"00024000015185","DM CHERRY M 4/4z",3.39,"Groceries"
