"Interal Reference","Description","Retail","POS Category"
"04133102159","PINA COLADA MIX 12 OZ",1.69,"Grocery"
"04133102161","COCO GOYA 8 3/4 OZ",1.59,"Grocery"
"04133102163","COCO GOYA 15 OZ",2.09,"Grocery"
"04133102164","COCONUT MILK 13.5 Z",1.49,"Grocery"
"04133102165","GOYA COCONUT MILK LIGHT",1.59,"Grocery"
"04133102166","CREAM OF COCONUT SHIPPER",2.09,"Grocery"
"04133102168","COCONUT MILK 25.5 OZ",2.79,"Grocery"
"04133102169","HABICHUELAS CON DULCE 24/15.5",1.49,"Grocery"
"04133102172","CREMA DE COCO SQUEEZE 16 OZ.",3.29,"Grocery"
"04133102195","COCONUT WATER 13.5 OZ.",1.69,"Grocery"
"42696702250","BLACK BEANS 500 GRAMS",.00,"Grocery"
"04133112330","RED KIDNEY LOW SODIUM 15.5 OZ",.99,"Grocery"
"04133112331","PINK BEANS LOW SODIUM 15.5 OZ",.99,"Grocery"
"04133112332","BLACK BEANS LOW SODIUM 15.5 OZ",.99,"Grocery"
"04133112333","CHICK PEAS LOW SODIUM 15.5 OZ",.99,"Grocery"
"04133112334","PINTO BEANS LOW SODIUM 15.5 OZ",.99,"Grocery"
"04133112335","SMALL WHT BNS LOW SODIUM 15.5",.99,"Grocery"
"04133102340","ORGANIC RED KIDNEY 24/15.5 OZ",1.29,"Grocery"
"04133102342","ORGANIC BLACK BEANS 24/15.5 OZ",1.49,"Grocery"
"04133102344","ORGANIC CHICK PEAS 24/15.5 OZ",1.29,"Grocery"
"04133102345","DK RED KIDNY LOW SODIUM",1.19,"Grocery"
"04133102347","CANNED PINTO BEANS 47 OZ.",2.69,"Grocery"
"04133102348","CANNED RED KIDNEY BEANS 47 OZ.",2.69,"Grocery"
"04133102349","CANNED CHICK PEAS BEANS 47 OZ.",2.69,"Grocery"
"04133102350","CANNED PINK BEANS 47 OZ.",2.69,"Grocery"
"04133102351","CANNED SMALL WHITE BEANS 47 OZ",2.69,"Grocery"
"04133102352","CANNED SMALL RED BEANS 47 OZ.",2.69,"Grocery"
"04133102353","CANNED BLACK BEANS 47 OZ",2.69,"Grocery"
"04133102361","HAB COLORADAS-LOW SODIUM",7.99,"Grocery"
"04133102362","HAB ROSADAS-LOW SODIUM",7.99,"Grocery"
"04133102363","GARBANZOS-LOW SODIUM 12/29 OZ",7.99,"Grocery"
"04133102364","HAB PINTAS-LOW SODIUM",7.99,"Grocery"
"04133102365","FRIJOLES NEGROS-LOW SODIUM",7.99,"Grocery"
"04133102366","HAB BLANCAS-LOW SODIUM",7.99,"Grocery"
"04133102395","GOYA MIXED LS BEANS 15.5 OZ.",.99,"Grocery"
"04133102400","RED KIDNEY 12/29 OZ",7.99,"Grocery"
"04133102401","GOYA MIXED BEANS   15.5 OZ",.95,"Grocery"
"04133112402","RED KIDNEY BEANS 15.5 OZ",.99,"Grocery"
"04133102403","RED KIDNEY BEANS 10.5 OZ",.89,"Grocery"
"04133102405","GOYA MIXED BEANS HISPANIC 15.5",.99,"Grocery"
"04133112406","PINK BEANS 15.5 OZ",.99,"Grocery"
"04133102407","PINK BEANS 10.5 OZ",.89,"Grocery"
"04133102411","PINK BEANS 12/29 OZ",7.99,"Grocery"
"04133112412","WHITE BEANS 15.5 OZ",.99,"Grocery"
"04133102413","WHITE BEANS 10.5 OZ",.89,"Grocery"
"04133112414","GOYA RED CARGAMANTO BEANS 15.5",1.29,"Grocery"
"04133102415","ROMAN BEANS 12/29 OZ",7.99,"Grocery"
"04133112416","ROMAN BEANS 15.5",.99,"Grocery"
"04133102417","SMALL REDS 12/29 OZ",7.99,"Grocery"
"04133112418","GOYA WHITE CARGAMANTO 15.5 OZ",1.29,"Grocery"
"04133102419","CHICK PEAS  12/29 OZ",7.99,"Grocery"
"04133112420","SMALL RED BEANS 15.5 OZ",.99,"Grocery"
"04133112421","FAVA BEANS",.99,"Grocery"
"04133112422","CHICK PEAS 15.5 OZ",.99,"Grocery"
"04133102423","CHICK PEAS 10.5 OZ",.89,"Grocery"
"04133112426","BLACKEYE PEAS 15.5 OZ",.99,"Grocery"
"04133102427","BLACKEYE PEAS",.89,"Grocery"
"04133102429","BLACKEYE PEAS 29 OZ",7.99,"Grocery"
"04133112430","GREAT NORTHERN BEANS 15.5 OZ",.99,"Grocery"
"04133112432","ROJO DOMINICANA 15.5 OZ",.99,"Grocery"
"04133112435","DARK RED KIDNEY BEANS 15.5 OZ",1.19,"Grocery"
"04133112437","PINTO BEANS 15.5 OZ",.99,"Grocery"
"04133102439","PINTO BEANS 10.5 OZ",.89,"Grocery"
"04133102442","PINTO BEANS  29 OZ",7.99,"Grocery"
"04133112443","BUTTER BEANS 15.5 OZ",1.29,"Grocery"
"04133102444","BUTTER BEANS 29 OZ",2.39,"Grocery"
"04133112446","CANNELLINI 15.5 OZ",1.19,"Grocery"
"04133102449","CANNELLINI 29 OZ",2.19,"Grocery"
"04133112450","GOYA BOLA ROJA BEAN 15.5 OZ",1.09,"Grocery"
"04133112451","GOYA CANARY BEANS 15.5 OZ",1.29,"Grocery"
"04133102452","SMALL WHITE BEANS 29 OZ",7.99,"Grocery"
"04133102453","GOYA DARK KIDNEY BEANS 110 OZ",5.59,"Grocery"
"04133102454","GOYA PINTO BEANS 110 OZ",5.59,"Grocery"
"04133102455","GOYA PINK BEANS 110 OZ",5.59,"Grocery"
"04133112456","GOYA LENTIL BEANS 15.5 OZ",.99,"Grocery"
"04133102457","GOYA RED KIDNEY BEANS 110 OZ",5.59,"Grocery"
"04133112458","NAVY BEANS 15.5 OZ",.99,"Grocery"
"04133102459","GOYA BLACK BEANS 110 OZ",5.59,"Grocery"
"04133102460","GOYA CHICK PEAS 110 OZ",5.59,"Grocery"
"04133112461","GREEN PEAS 15.5 OZ",.99,"Grocery"
"04133112463","FRIJOL DE SEDA 24/15.5 OZ.",1.29,"Grocery"
"04133102465","BLACK BEANS 29 OZ",7.99,"Grocery"
"04133112466","BLACK BEANS 15.5 OZ",.99,"Grocery"
"04133102467","GREEN PEAS 10.5 OZ",.89,"Grocery"
"04133102469","BLACK BEANS 10.5 OZ",.89,"Grocery"
"04133102470","SMALL WHITE BEANS 1 LB",1.39,"Grocery"
"04133102471","RED KIDNEY BEANS  1 LB",1.99,"Grocery"
"04133102472","PINTO BEANS 1 LB",1.39,"Grocery"
"04133102473","BABY LIMA BEANS 1 LB",1.39,"Grocery"
"04133102474","BLACKEYE PEAS  1 LB",1.89,"Grocery"
"04133102475","WHOLE GREEN PEAS 1 LB",.99,"Grocery"
"04133102476","LENTILS 1 LB",1.19,"Grocery"
"04133102477","PINK BEANS 1 LB",1.59,"Grocery"
"04133102478","CHICK PEAS 1 LB",1.79,"Grocery"
"04133102479","BLACK BEANS 1 LB",1.39,"Grocery"
"04133102480","DOMINICAN RED BEANS 1 LB",1.99,"Grocery"
"04133102481","LARGE LIMA BEANS 1 LB",2.49,"Grocery"
"04133102482","PIGEON PEAS 1 LB",1.59,"Grocery"
"04133102483","ROMAN BEANS 1 LB",2.09,"Grocery"
"04133102484","FAVA BEANS 1 LB",1.95,"Grocery"
"04133102485","GREAT NORTHERN BEANS 1 LB",1.69,"Grocery"
"04133102486","SMALL RED BEANS 1 LB",1.89,"Grocery"
"04133102487","GREEN SPLIT PEAS 1 LB",.99,"Grocery"
"04133102488","CANNELLINI ALUBIAS 1 LB.",1.69,"Grocery"
"04133102489","COW PEAS 1 LB",1.49,"Grocery"
