"Internal Reference","DESCRIPTION","PRICE","POS Category"
5020001923,"SUNNY D CHERY LIMEADE",9.12,"Dairy"
5020001924,"SUNNY D WATERMELON",9.12,"Dairy"
5020001925,"SUNNY D GRAPE",9.12,"Dairy"
5020001926,"SUNNY D PEACH",9.12,"Dairy"
9518883000,"TAMPICO PEACH ",6.8,"Dairy"
9518814301,"TAMPICO BLUE RASP",6.8,"Dairy"
9518801128,"TAMPICO CITRUS GAL",6.8,"Dairy"
9518803128,"TAMPICO TROPICAL GAL",6.8,"Dairy"
9518802128,"TAMPICO MANGO GAL",6.8,"Dairy"
9518807128,"TAMPICO KIWI STR GAL",6.8,"Dairy"
9518806128,"TAMPICO ISLAND PUNCH",6.8,"Dairy"
2500004745,"BRIGHT & EARLY GRAPE",6.8,"Dairy"
2500004738,"BRIGHT & EARLY APPLE",6.8,"Dairy"
2500004808,"BRIGHT & EARLY ORANGE",6.8,"Dairy"
3246311131,"HOMEMAKER FRT PUNCH",8.86,"Dairy"
3246341134,"HOMEMAKER GRAPE PUNCH",8.86,"Dairy"
3246321132,"HOMEMAKER TROP PUNCH",8.86,"Dairy"
3246331133,"HOMEMAKER BERRY PUNCH",8.86,"Dairy"
3246361136,"HOMEMAKER ICED TEA",8.86,"Dairy"
3246351135,"HOMEMAKER CITRUS PUNCH",8.86,"Dairy"
2500005439,"MM ORANGEADE PUNCH",11.25,"Dairy"
2500002653,"MM FRT PUNCH",11.25,"Dairy"
2500002754,"MM TROPICAL PUNCH",11.25,"Dairy"
2500002716,"MM BERRY PUNCH",11.25,"Dairy"
2500004777,"MM CITRUS PUNCH",10.06,"Dairy"
2500004748,"MM LEMONADE",10.06,"Dairy"
2500004772,"MM FRT PUNCH",10.06,"Dairy"
2500004751,"MM PINK LEMONADE",10.06,"Dairy"
2500004763,"MM GRP PUNCH",10.06,"Dairy"
2500004760,"MM ORANGEADE PUNCH",10.06,"Dairy"
2500004742,"MM LIMEADE",10.06,"Dairy"
2500004766,"MM BERRY PUNCH",10.06,"Dairy"
2500004757,"MM CHERY LIMEADE",10.06,"Dairy"
2500004769,"MM TROP PUNCH",10.06,"Dairy"
2500004811,"MM WATERMELON",10.06,"Dairy"
2500004948,"MM PEACH DRINK",10.06,"Dairy"
2362756077,"SUPER A ICED TEA",7.15,"Dairy"
2362756045,"SUPER A FRUIT PUNCH",7.15,"Dairy"
2362756063,"SUPER A CITRUS PUNCH",7.15,"Dairy"
2362756047,"SUPER A TROP PUNCH",7.15,"Dairy"
2362756049,"SUPER A BERRY PUNCH",7.15,"Dairy"
5360010118,"SSIPS STR KIWI",7.29,"Dairy"
5360010117,"SSIPS TROP PNCH",7.29,"Dairy"
5360010119,"SSIPS GUAVA MANGO",7.29,"Dairy"
5360010173,"SSIPS PINA COLADA",7.29,"Dairy"
5360010500,"SSIPS GREEN TEA",7.29,"Dairy"
5360010046,"SSIPS ICED COOL TEA",7.29,"Dairy"
5360010044,"SSIPS FRT PUNCH",7.29,"Dairy"
5360010503,"SSIPS ORANGEADE",7.29,"Dairy"
5360010142,"SSIPS BERRY PUNCH",7.29,"Dairy"
4850002123,"TROP FRUIT PUNCH",9.85,"Dairy"
4850002127,"TROP ORANGEADE PUNCH",9.85,"Dairy"
4850002107,"TROP BERRY PUNCH",9.85,"Dairy"
4850002106,"TROP TROPICAL PUNCH",9.85,"Dairy"
4850002104,"TROP ORCHARD PEACH PUNCH",9.85,"Dairy"
4850002128,"TROP GRAPE PUNCH",9.85,"Dairy"
4850002222,"TROP WATERMELON DRINK",9.85,"Dairy"
4850002105,"TROP APPLE HARVST PUNCH",9.85,"Dairy"
4850002125,"TROP LEMONADE",9.85,"Dairy"
4850002124,"TROP LIGHT FRUIT PUNCH",9.85,"Dairy"
4850002126,"TROP LIGHT LEMONADE",9.85,"Dairy"
6627300117,"TROPSPLSH FRUIT PUNCH PP1.19",6.98,"Dairy"
6627301014,"TROPSPLSH TROPICAL PP1.19",6.98,"Dairy"
6627301026,"TROPSPLSH BERRY PP1.19",6.98,"Dairy"
6627301030,"TROPSPLSH LEM ICED TEA PP1.19",6.98,"Dairy"
6627301032,"TROPSPLSH STR KIWI PP1.19",6.98,"Dairy"
6627301034,"TROPSPLSH GUAVA MANGO PP1.19",6.98,"Dairy"
4850000100,"TROP ORIG ORG JC CTN",30.29,"Dairy"
4850000000,"TROP OJ PLAS",26.1,"Dairy"
4850000002,"TROP R/R GFT PLAS",26.1,"Dairy"
4850000049,"TROP APPLE JC PLAS",26.1,"Dairy"
4850000672,"TROP CRAN COCKTL PLAS",26.1,"Dairy"
4850000629,"TROP ORG JC 6pk CTN",15.24,"Dairy"
4850000820,"TROP ORG JC W/CAL 6pk CTN",15.24,"Dairy"
4850000945,"TROP HEALTHY KIDS OJ 6pk ",15.24,"Dairy"
5290900358,"CALIFIA LEMONADE",11.67,"Dairy"
5290900359,"CALIFIA LIMEADE",11.67,"Dairy"
5290900360,"CALIFIA ORANGE JC",11.67,"Dairy"
5290900362,"CALIFIA TANGRINE OJ",11.67,"Dairy"
2500000024,"SIMPLY OJ SINGL SERVE",12.14,"Dairy"
2500000035,"SIMPLY OJ W/CAL SINGL SERVE",12.14,"Dairy"
2500000029,"SIMPLY APPLE SINGL SERVE",12.14,"Dairy"
2500000021,"SIMPLY LEMONADE SINGL SERVE",12.14,"Dairy"
2500000031,"SIMPLY LIMEADE SINGL SERVE",12.14,"Dairy"
2500000018,"SIMPLY RASP LEMON SINGL SERVE",12.14,"Dairy"
2500000069,"SIMPLY FRUIT PUNCH SINGL SERVE",12.14,"Dairy"
2500000068,"SIMPLY TROP PUNCH SINGLE SERVE",12.14,"Dairy"
4850001855,"TROP ORG STR BAN",13.37,"Dairy"
4850001852,"TROP OJ CTN",13.37,"Dairy"
4850001853,"TROP HOMSTYL ORG JC CTN",13.37,"Dairy"
4850001856,"TROP R R GRPFRT",13.37,"Dairy"
4850001859,"TROP O J W/CALC",13.37,"Dairy"
4850001775,"TROP PP OJ PLAS",13.23,"Dairy"
4850001776,"TROP PP OJ W/CALC PLAS",13.23,"Dairy"
4850001777,"TROP OJ W/SOME PULP PLAS",13.23,"Dairy"
4850001779,"TROP APPLE PLAS",13.23,"Dairy"
4850001795,"TROP RR GFT W/PULP PLAS",13.23,"Dairy"
4850001781,"TROP CRAN COCKTAL PLAS",13.23,"Dairy"
4850001782,"TROP GRAPE PLAS",13.23,"Dairy"
4850001797,"TROP ORG STR BAN PLAS",13.23,"Dairy"
4850001866,"TROP LEMONADE PLAS",13.23,"Dairy"
4850001904,"TROP 50 OJ W/CALC PLAS",13.23,"Dairy"
4850001953,"TROP 50 POM BLUE PLAS",13.23,"Dairy"
4850000860,"TROP ORG JC PLAS",12.83,"Dairy"
4850000861,"TROP APPLE JC PLAS",12.83,"Dairy"
4850000863,"TROP GRAPE JC PLAS",12.83,"Dairy"
4850000864,"TROP CRAN COCKTL JC PLAS",12.83,"Dairy"
4850000940,"TROP R/R GFT PLAS",12.83,"Dairy"
4850000174,"TROP OJ PLAS",16.41,"Dairy"
4850000175,"TROP GRPFRT PLAS",16.41,"Dairy"
4850000176,"TROP APPLE PLAS",16.41,"Dairy"
3642630033,"MIRA MANGO 3PK",9.86,"Dairy"
3642630034,"MIRA MANGO NECTAR",15.6,"Dairy"
3642630043,"MIRA GUAVA NECTAR",15.6,"Dairy"
3642630036,"MIRA FRUIT COCKTAIL NECTAR",15.6,"Dairy"
3642630035,"MIRA PEAR NECTAR",15.6,"Dairy"
3642630044,"MIRA PINEAPPLE NECTAR",15.6,"Dairy"
3642620061,"MIRA MANGO GLASS",9.69,"Dairy"
3642620065,"MIRA PINK GUAVA GLASS",9.69,"Dairy"
2073509273,"TURK HIL ICED TEA",10.15,"Dairy"
2073509274,"TURK HIL DIET ICED TEA",10.15,"Dairy"
2073509285,"TURK HIL DECAF ICED TEA",10.15,"Dairy"
2073509276,"TURK HIL LEMONADE",10.15,"Dairy"
2073509248,"TURK HIL STR KIWI",10.15,"Dairy"
2073509259,"TURK HIL GREEN TEA",10.15,"Dairy"
2073509279,"TURK HIL LEMONADE TEA",10.15,"Dairy"
2073509394,"TURK HIL POMGRNTE LEMONDE",10.15,"Dairy"
2073509407,"TURK HIL BLCK TEA POMOGRNTE",10.15,"Dairy"
2073509405,"TURK HIL DIET BLCK SWT TEA",10.15,"Dairy"
2073509334,"TURK HIL GREEN TEA MANGO",10.15,"Dairy"
2073509290,"TURK HILL PEACH TEA",10.15,"Dairy"
2073509416,"TURK HIL FRUIT PUNCH",10.15,"Dairy"
2073509260,"TURK HIL PINK LEMONDE",10.15,"Dairy"
2073509242,"TURK HIL DIET ORNGE DECAF TEA",10.15,"Dairy"
2073509306,"TURK HIL DIET GREEN TEA",10.15,"Dairy"
2073509287,"TURK HIL DIET DECAF",10.15,"Dairy"
