"Internal Reff","Name","Price","POS Category"
1101312050,"HOMESOLV CITRADISH AUTO DET PWD ORG          ",6.99,"Grocery"
1101313050,"HOMESOLV CITRASUD LIQ DET ORANGE             ",9.19,"Grocery"
1101313051,"HOMESOLV CITRASUD LIQ DET LAVENDAR           ",9.19,"Grocery"
1101320022,"CITRASOLV NATRL MLT PURP CLNR ORANGE         ",5.29,"Grocery"
1101320023,"HOMESOLV CITRADRAIN DRAIN CLNR ORNG          ",6.09,"Grocery"
1101371007,"AIR SENSE OIL AIR FRESHENER ORANGE           ",8.69,"Grocery"
1101374007,"AIR SENSE OIL AIR FRESHENER LAVENDAR         ",8.69,"Grocery"
1111101215,"DOVE MENS BAR EXTRA FRESH 2PK                ",4.39,"Grocery"
1111101216,"DOVE MENS BAR DEEP CLEAN 2PK                 ",4.39,"Grocery"
1111101412,"DOVE MENS CLEAN CONFDNT BDY WSH              ",5.99,"Grocery"
1111101414,"DOVE MENS DEEP CLEAN BODY WASH               ",5.99,"Grocery"
1111103644,"DOVE SOAP SENSITIVE SKIN                     ",1.99,"Grocery"
1111103809,"CARESS SOAP SILK                             ",1.49,"Grocery"
1111104090,"DOVE BAR SOAP WHITE 3PK                      ",5.39,"Grocery"
1111104091,"DOVE BAR SOAP PINK 3PK                       ",5.39,"Grocery"
1111107624,"DOVE SHEA BUTTER BAR BATH 2PK                ",4.99,"Grocery"
1111111424,"DOVE BODY WASH RENEWING                      ",8.99,"Grocery"
1111111425,"DOVE BODY WASH SOFTENING                     ",8.99,"Grocery"
1111112114,"DOVE BODY WASH CUCUMBER TEA                  ",6.69,"Grocery"
1111112212,"DOVE BODY WASH SENSITIVE SKIN                ",6.69,"Grocery"
1111121663,"DOVE SOAP REVIVE 2PK                         ",4.99,"Grocery"
1111126595,"DOVE GO FRESH REBALANCE BAR 2PK              ",4.99,"Grocery"
1111128107,"LEVER 2000 POMEGRANATE/COCONT BAR 2PK        ",2.69,"Grocery"
1111132524,"LEVER 2000 REG BAR SOAP 2 PK                 ",2.69,"Grocery"
1111143322,"DOVE GO FRSH REVITALIZE BAR 2PK              ",4.99,"Grocery"
1111161120,"DOVE SENSITIVE SKN SOAP 2 PK                 ",4.99,"Grocery"
1111161133,"DOVE SOAP WHITE 2PK                          ",4.99,"Grocery"
1111161195,"DOVE SOAP PINK 2PK                           ",4.99,"Grocery"
1111161328,"DOVE EXFOLIATING BAR SOAP 2 PK               ",4.99,"Grocery"
1111161424,"DOVE SOAP REGULAR WHITE                      ",1.99,"Grocery"
1111173190,"CARESS DAILY SILK SOAP 2 PK                  ",3.49,"Grocery"
1112000402,"WOOLITE HEAVY TRAFFIC CARPET CLNR            ",5.69,"Grocery"
